parameter	value	max_shift_pp	F_rapamycin	F_acarbose	F_canagliflozin	F_17_alpha_estradiol	F_aspirin	F_glycine	combo_rapa_acarb
cancer.k_osk_proliferation	0.3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
cancer.k_immune_age_decline	0.2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
cancer.k_senescence_tumor_suppression	0.2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
cancer.cancer_threshold	50	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
cancer.cancer_hits	2.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
cancer.k_cancer_rate	0.001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
bioage.SASP_norm	0.037314	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
tsc2.TSC2_min	0.1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
tsc2.k_ampk_tsc2_max	0.7	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
tsc2.Km_ampk_tsc2	0.35	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
tsc2.n_hill_ampk_tsc2	1.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
